full_name,stars,watchers,forks,stars_delta,watchers_delta,forks_delta,url
affaan-m/everything-claude-code,150622,150622,23313,182,182,32,https://github.com/affaan-m/everything-claude-code
shareAI-lab/learn-claude-code,51523,51523,8415,55,55,18,https://github.com/shareAI-lab/learn-claude-code
ChinaSiro/claude-code-sourcemap,8763,8763,14381,3,3,2,https://github.com/ChinaSiro/claude-code-sourcemap
hesreallyhim/awesome-claude-code,37964,37964,3072,9,9,1,https://github.com/hesreallyhim/awesome-claude-code
pengchengneo/Claude-Code,1140,1140,2094,1,1,-1,https://github.com/pengchengneo/Claude-Code
musistudio/claude-code-router,31961,31961,2532,6,6,0,https://github.com/musistudio/claude-code-router
davila7/claude-code-templates,24428,24428,2399,1,1,-1,https://github.com/davila7/claude-code-templates
shanraisshan/claude-code-best-practice,36330,36330,3421,185,185,15,https://github.com/shanraisshan/claude-code-best-practice
LING71671/Open-ClaudeCode,719,719,1067,1,1,3,https://github.com/LING71671/Open-ClaudeCode
oboard/claude-code-rev,2908,2908,3684,2,2,1,https://github.com/oboard/claude-code-rev
ponponon/claude_code_src,2120,2120,3447,0,0,0,https://github.com/ponponon/claude_code_src
VoltAgent/awesome-claude-code-subagents,16940,16940,1932,13,13,1,https://github.com/VoltAgent/awesome-claude-code-subagents
anthropics/claude-code-action,7003,7003,1696,1,1,1,https://github.com/anthropics/claude-code-action
Piebald-AI/claude-code-system-prompts,8586,8586,1588,4,4,3,https://github.com/Piebald-AI/claude-code-system-prompts
Donchitos/Claude-Code-Game-Studios,8594,8594,1324,11,11,1,https://github.com/Donchitos/Claude-Code-Game-Studios
diet103/claude-code-infrastructure-showcase,9440,9440,1207,0,0,0,https://github.com/diet103/claude-code-infrastructure-showcase
frankbria/ralph-claude-code,8589,8589,645,2,2,0,https://github.com/frankbria/ralph-claude-code
hangsman/claude-code-source,751,751,1727,0,0,0,https://github.com/hangsman/claude-code-source
liuup/claude-code-analysis,1376,1376,1169,16,16,8,https://github.com/liuup/claude-code-analysis
ykdojo/claude-code-tips,7333,7333,516,0,0,0,https://github.com/ykdojo/claude-code-tips
chauncygu/collection-claude-code-source-code,1971,1971,2088,3,3,1,https://github.com/chauncygu/collection-claude-code-source-code
pedrohcgs/claude-code-my-workflow,893,893,1793,0,0,0,https://github.com/pedrohcgs/claude-code-my-workflow
ChrisWiles/claude-code-showcase,5769,5769,521,0,0,0,https://github.com/ChrisWiles/claude-code-showcase
OneRedOak/claude-code-workflows,3776,3776,554,0,0,0,https://github.com/OneRedOak/claude-code-workflows
huangserva/claude-code-cli,550,550,1275,4,4,-1,https://github.com/huangserva/claude-code-cli
lintsinghua/claude-code-book,2558,2558,615,4,4,0,https://github.com/lintsinghua/claude-code-book
1rgs/claude-code-proxy,3415,3415,451,1,1,0,https://github.com/1rgs/claude-code-proxy
qwibitai/nanoclaw,27086,27086,11578,7,7,7,https://github.com/qwibitai/nanoclaw
777genius/claude-code-source-code,893,893,1120,0,0,-1,https://github.com/777genius/claude-code-source-code
disler/claude-code-hooks-mastery,3506,3506,597,0,0,0,https://github.com/disler/claude-code-hooks-mastery
zebbern/claude-code-guide,3908,3908,371,0,0,0,https://github.com/zebbern/claude-code-guide
anthropics/skills,114879,114879,13138,87,87,13,https://github.com/anthropics/skills
Maciek-roboblog/Claude-Code-Usage-Monitor,7485,7485,374,1,1,0,https://github.com/Maciek-roboblog/Claude-Code-Usage-Monitor
kodu-ai/claude-coder,5282,5282,199,0,0,0,https://github.com/kodu-ai/claude-coder
lorryjovens-hub/claude-code-rust,1282,1282,531,1,1,0,https://github.com/lorryjovens-hub/claude-code-rust
sickn33/antigravity-awesome-skills,32126,32126,5350,21,21,9,https://github.com/sickn33/antigravity-awesome-skills
zstmfhy/Claude-code,190,190,283,0,0,0,https://github.com/zstmfhy/Claude-code
Yuyz0112/claude-code-reverse,2343,2343,402,1,1,0,https://github.com/Yuyz0112/claude-code-reverse
FlorianBruniaux/claude-code-ultimate-guide,3170,3170,439,3,3,0,https://github.com/FlorianBruniaux/claude-code-ultimate-guide
fuergaosi233/claude-code-proxy,2391,2391,337,2,2,1,https://github.com/fuergaosi233/claude-code-proxy
RichardAtCT/claude-code-telegram,2405,2405,332,2,2,0,https://github.com/RichardAtCT/claude-code-telegram
anthropics/claude-code-security-review,4204,4204,368,0,0,0,https://github.com/anthropics/claude-code-security-review
Windy3f3f3f3f/how-claude-code-works,1728,1728,496,10,10,0,https://github.com/Windy3f3f3f3f/how-claude-code-works
Cranot/claude-code-guide,2583,2583,285,2,2,0,https://github.com/Cranot/claude-code-guide
Alishahryar1/free-claude-code,1821,1821,327,3,3,2,https://github.com/Alishahryar1/free-claude-code
wanshuiyin/Auto-claude-code-research-in-sleep,6142,6142,557,9,9,1,https://github.com/wanshuiyin/Auto-claude-code-research-in-sleep
AprilNEA/claude-code-source,370,370,612,0,0,0,https://github.com/AprilNEA/claude-code-source
anthropics/claude-code-base-action,786,786,598,0,0,0,https://github.com/anthropics/claude-code-base-action
fazxes/Claude-code,200,200,203,0,0,0,https://github.com/fazxes/Claude-code
ding113/claude-code-hub,2378,2378,269,5,5,1,https://github.com/ding113/claude-code-hub
https-deeplearning-ai/sc-claude-code-files,482,482,664,0,0,0,https://github.com/https-deeplearning-ai/sc-claude-code-files
router-for-me/CLIProxyAPI,24909,24909,4170,53,53,6,https://github.com/router-for-me/CLIProxyAPI
obra/superpowers,146325,146325,12541,199,199,13,https://github.com/obra/superpowers
repowise-dev/claude-code-prompts,910,910,348,1,1,0,https://github.com/repowise-dev/claude-code-prompts
luyao618/Claude-Code-Source-Study,1095,1095,458,1,1,0,https://github.com/luyao618/Claude-Code-Source-Study
edmund-io/edmunds-claude-code,1387,1387,282,0,0,0,https://github.com/edmund-io/edmunds-claude-code
guanshan/ClaudeCode,54,54,213,0,0,1,https://github.com/guanshan/ClaudeCode
eyaltoledano/claude-task-master,26494,26494,2478,3,3,0,https://github.com/eyaltoledano/claude-task-master
garrytan/gstack,69468,69468,9728,73,73,24,https://github.com/garrytan/gstack
Pimzino/claude-code-spec-workflow,3641,3641,257,0,0,0,https://github.com/Pimzino/claude-code-spec-workflow
JrCx7scC/claude-code-source,330,330,485,5,5,2,https://github.com/JrCx7scC/claude-code-source
snarktank/ralph,15162,15162,1554,11,11,2,https://github.com/snarktank/ralph
bfly123/claude_code_bridge,2180,2180,205,3,3,1,https://github.com/bfly123/claude_code_bridge
wshobson/agents,33381,33381,3623,4,4,1,https://github.com/wshobson/agents
Yeachan-Heo/oh-my-claudecode,27519,27519,2528,53,53,4,https://github.com/Yeachan-Heo/oh-my-claudecode
ghuntley/claude-code-source-code-deobfuscation,971,971,555,0,0,0,https://github.com/ghuntley/claude-code-source-code-deobfuscation
anthropics/claude-plugins-official,16633,16633,1917,11,11,3,https://github.com/anthropics/claude-plugins-official
andrew-kramer-inno/claude-code-source-build,564,564,505,1,1,0,https://github.com/andrew-kramer-inno/claude-code-source-build
AICoderTudou/claude-code-tudou,465,465,374,2,2,0,https://github.com/AICoderTudou/claude-code-tudou
alirezarezvani/claude-skills,10441,10441,1313,18,18,4,https://github.com/alirezarezvani/claude-skills
KimYx0207/Claude-Code-x-OpenClaw-Guide-Zh,3152,3152,601,3,3,1,https://github.com/KimYx0207/Claude-Code-x-OpenClaw-Guide-Zh
