full_name,stars,watchers,forks,stars_delta,watchers_delta,forks_delta,url
affaan-m/everything-claude-code,159542,159542,24812,91,91,16,https://github.com/affaan-m/everything-claude-code
shareAI-lab/learn-claude-code,54426,54426,8950,14,14,0,https://github.com/shareAI-lab/learn-claude-code
ChinaSiro/claude-code-sourcemap,8904,8904,14499,1,1,0,https://github.com/ChinaSiro/claude-code-sourcemap
pengchengneo/Claude-Code,1198,1198,2171,0,0,0,https://github.com/pengchengneo/Claude-Code
hesreallyhim/awesome-claude-code,39362,39362,3242,9,9,5,https://github.com/hesreallyhim/awesome-claude-code
shanraisshan/claude-code-best-practice,45947,45947,4462,32,32,5,https://github.com/shanraisshan/claude-code-best-practice
musistudio/claude-code-router,32448,32448,2573,3,3,2,https://github.com/musistudio/claude-code-router
davila7/claude-code-templates,24677,24677,2440,2,2,1,https://github.com/davila7/claude-code-templates
LING71671/Open-ClaudeCode,750,750,1106,1,1,0,https://github.com/LING71671/Open-ClaudeCode
oboard/claude-code-rev,2993,2993,3738,2,2,-1,https://github.com/oboard/claude-code-rev
ponponon/claude_code_src,2165,2165,3473,0,0,1,https://github.com/ponponon/claude_code_src
VoltAgent/awesome-claude-code-subagents,17579,17579,2006,10,10,0,https://github.com/VoltAgent/awesome-claude-code-subagents
anthropics/claude-code-action,7134,7134,1716,5,5,1,https://github.com/anthropics/claude-code-action
Donchitos/Claude-Code-Game-Studios,11649,11649,1706,79,79,6,https://github.com/Donchitos/Claude-Code-Game-Studios
Piebald-AI/claude-code-system-prompts,9059,9059,1630,4,4,0,https://github.com/Piebald-AI/claude-code-system-prompts
diet103/claude-code-infrastructure-showcase,9470,9470,1207,-1,-1,0,https://github.com/diet103/claude-code-infrastructure-showcase
frankbria/ralph-claude-code,8711,8711,650,0,0,0,https://github.com/frankbria/ralph-claude-code
liuup/claude-code-analysis,1726,1726,1340,1,1,1,https://github.com/liuup/claude-code-analysis
hangsman/claude-code-source,754,754,1738,0,0,1,https://github.com/hangsman/claude-code-source
chauncygu/collection-claude-code-source-code,2146,2146,2171,3,3,0,https://github.com/chauncygu/collection-claude-code-source-code
ykdojo/claude-code-tips,7757,7757,572,2,2,1,https://github.com/ykdojo/claude-code-tips
pedrohcgs/claude-code-my-workflow,932,932,1906,0,0,3,https://github.com/pedrohcgs/claude-code-my-workflow
ChrisWiles/claude-code-showcase,5800,5800,532,-2,-2,0,https://github.com/ChrisWiles/claude-code-showcase
lintsinghua/claude-code-book,2794,2794,642,1,1,0,https://github.com/lintsinghua/claude-code-book
huangserva/claude-code-cli,552,552,1283,0,0,0,https://github.com/huangserva/claude-code-cli
OneRedOak/claude-code-workflows,3781,3781,554,-1,-1,0,https://github.com/OneRedOak/claude-code-workflows
